Water_year,Streamflow_cfs
1975,2200
1976,5700
1977,1100
1978,2940
1979,3030
1980,3960
1981,1930
1982,3160
1983,6660
1984,3410
1985,2270
1986,3430
1987,890
1988,1240
1989,720
1990,1800
1991,3370
1992,960
1993,2680
1994,1390
1995,3500
1996,2670
1997,3290
1998,959
1999,7710
2000,785
2001,713
2002,751
2003,2100
2004,997
2005,1720
2006,1210
2007,933
2008,1830
2009,1790
2010,4570
2011,3220
2012,764
2013,8140
2014,5860
2015,4420
2016,2990
2017,2850
2018,1650
2019,1860
2020,2340
2021,2750
2022,2430
2023,2390
